split,path,class_name,label
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4755.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0589.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2066.jpg,Normal,0
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0909.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3055.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0051.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2982.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3432.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1192.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1639.jpg,Normal,0
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2010.jpg,Normal,0
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0401.jpg,Normal,0
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2630.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0577.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3514.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1644.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2219.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3666.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0810.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4196.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0473.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2732.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0315.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4787.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0802.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4059.jpg,Tumor,1
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4409.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1898.jpg,Normal,0
train,dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0611.jpg,Tumor,1
train,dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0547.jpg,Normal,0
