path,true_label,true_class,predicted_label,predicted_class,tumor_probability,prediction_confidence,error_type
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0373.jpg,1,Tumor,1,Tumor,0.9976513981819153,0.9976513981819153,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4789.jpg,0,Normal,0,Normal,0.0012968482915312052,0.9987031517084688,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0543.jpg,0,Normal,0,Normal,0.0002452417684253305,0.9997547582315747,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_4136.jpg,0,Normal,0,Normal,8.549443009542301e-05,0.9999145055699046,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0322.jpg,1,Tumor,1,Tumor,0.9974898099899292,0.9974898099899292,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1010.jpg,1,Tumor,1,Tumor,0.9997169375419617,0.9997169375419617,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_1999.jpg,0,Normal,0,Normal,0.012881441041827202,0.9871185589581728,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3313.jpg,0,Normal,0,Normal,0.001216793549247086,0.9987832064507529,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0211.jpg,0,Normal,0,Normal,0.002727317390963435,0.9972726826090366,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2588.jpg,1,Tumor,1,Tumor,0.999930739402771,0.999930739402771,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3623.jpg,0,Normal,0,Normal,0.00022063897631596774,0.999779361023684,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2863.jpg,1,Tumor,1,Tumor,0.9988347887992859,0.9988347887992859,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0939.jpg,1,Tumor,1,Tumor,0.9987949132919312,0.9987949132919312,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3194.jpg,1,Tumor,1,Tumor,0.9999866485595703,0.9999866485595703,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3467.jpg,0,Normal,0,Normal,0.0752200037240982,0.9247799962759018,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3305.jpg,1,Tumor,1,Tumor,0.9999996423721313,0.9999996423721313,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2042.jpg,0,Normal,0,Normal,0.006050337105989456,0.9939496628940105,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4511.jpg,1,Tumor,1,Tumor,0.9968331456184387,0.9968331456184387,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3586.jpg,1,Tumor,1,Tumor,0.9777918457984924,0.9777918457984924,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3992.jpg,1,Tumor,1,Tumor,0.999998927116394,0.999998927116394,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0672.jpg,0,Normal,0,Normal,0.007337833754718304,0.9926621662452817,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_2852.jpg,1,Tumor,1,Tumor,0.9974794983863831,0.9974794983863831,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_2592.jpg,0,Normal,0,Normal,9.995175059884787e-05,0.9999000482494012,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_0161.jpg,0,Normal,0,Normal,0.018005160614848137,0.9819948393851519,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0873.jpg,1,Tumor,1,Tumor,0.9996365308761597,0.9996365308761597,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0822.jpg,1,Tumor,1,Tumor,0.9999212026596069,0.9999212026596069,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3696.jpg,1,Tumor,1,Tumor,0.9999984502792358,0.9999984502792358,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1924.jpg,1,Tumor,1,Tumor,0.9999996423721313,0.9999996423721313,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_3086.jpg,1,Tumor,1,Tumor,0.9999181032180786,0.9999181032180786,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_4785.jpg,1,Tumor,1,Tumor,0.9999758005142212,0.9999758005142212,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_0994.jpg,1,Tumor,1,Tumor,0.9999830722808838,0.9999830722808838,correct
dataset\Hyperspectral_tumor_images\Hyperspectral_kidney_tumor_1436.jpg,1,Tumor,1,Tumor,0.9599781632423401,0.9599781632423401,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3114.jpg,0,Normal,0,Normal,0.0001154877245426178,0.9998845122754574,correct
dataset\Hyperspectral_normal_images\Hyperspectral_kidney_normal_3036.jpg,0,Normal,0,Normal,5.581456935033202e-05,0.9999441854306497,correct
